qseqid	sseqid	evalue	pident	length	gaps	sstart	send	qstart	qend
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	0.0	100.00	500	0	1	500	1	500
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_7	9e-108	45.61	353	0	148	500	148	500
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_6	2e-84	39.09	353	0	148	500	148	500
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_4	2e-43	27.68	354	0	147	500	147	500
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f1_17	1e-34	36.04	197	1	1	197	1	194
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f1_16	4e-34	44.06	143	0	5	147	5	147
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_5	3e-31	21.47	354	0	147	500	147	500
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	ID_30_F1_1_F2_13_G_3_SplitPt_207_GenID_0	8e-14	25.34	146	0	5	150	5	150
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f1_19	2e-13	23.47	196	3	2	195	2	192
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f1_18	2e-12	22.60	146	0	2	147	2	147
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	ID_179_F1_1_F2_3_G_4_SplitPt_182_GenID_0	3e-12	22.60	146	0	2	147	2	147
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_3	4e-09	18.89	307	5	170	459	170	459
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_1	2e-07	21.50	200	3	288	485	288	482
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_2	2e-05	19.35	279	7	214	478	209	478
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f1_23	7e-04	22.22	126	0	2	127	2	127
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f1_22	0.062	19.20	125	0	3	127	3	127
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	ID_233_F1_3_F2_12_G_0_SplitPt_238_GenID_0	0.30	20.24	84	0	252	335	252	335
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_12	0.32	15.50	258	3	186	436	186	436
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_14	0.46	18.39	348	11	148	466	128	449
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_15	0.98	22.92	48	0	367	414	367	414
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_16	1.3	34.00	50	2	142	190	168	215
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f9_8	4.6	29.51	61	3	250	306	234	292
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f0_27	4.7	39.13	46	1	364	404	241	286
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	f12_26	6.1	24.05	79	2	214	287	209	287
ID_190_F1_1_F2_12_G_3_SplitPt_147_GenID_0	ID_150_F1_14_F2_12_G_3_SplitPt_133_GenID_0	6.7	20.22	89	0	371	459	371	459
